Trap Date,Genus,Specific Epithet,Gender,IDd,Count,Trap Region,Include,Comparison Group,Latitude,Longitude,Location
06/14/2016 12:00:00 AM,Aedes,vexans,Female,,42,Rural GC-South East,,Outer,53.33774000,-113.24156000,POINT (-113.24156000000002 53.33774)
06/28/2016 12:00:00 AM,Aedes,vexans,Female,,826,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
09/06/1994 12:00:00 AM,Anopheles,earlei,Female,,4,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.58141700000001)
09/22/2009 12:00:00 AM,Aedes,vexans,Female,,1,Rural-South West,,Peripheral,53.45390000,-113.68865000,POINT (-113.68865 53.4539)
07/25/2017 12:00:00 AM,Aedes,vexans,Female,,159,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
08/20/2019 12:00:00 AM,Culiseta,inornata,Female,,267,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
06/18/2013 12:00:00 AM,Male,UnID,Male,UnID,160,Outer Community-North,,Outer,53.77447650,-113.58571530,POINT (-113.5857153 53.7744765)
06/15/1999 12:00:00 AM,Culiseta,alaskaensis,Female,,1,River Valley-GC2-East,,Core,53.55335800,-113.46263200,POINT (-113.462632 53.553358)
06/24/2003 12:00:00 AM,Male,UnID,Male,UnID,1,Residential-North,,Core,53.57945910,-113.49926240,POINT (-113.4992624 53.5794591)
07/23/1996 12:00:00 AM,Ochlerotatus,euedes,Female,,1,River Valley-Central-P1,,Core,53.52902900,-113.54717700,POINT (-113.547177 53.529029)
07/18/1995 12:00:00 AM,Culex,territans,Female,,1,Extended Rural-South West,,Outer,53.42475000,-113.86097000,POINT (-113.86097 53.42475)
09/22/2009 12:00:00 AM,Culiseta,inornata,Female,,1,Industrial East,,Peripheral,53.59592000,-113.33219000,POINT (-113.33219 53.59592)
08/21/2018 12:00:00 AM,Culiseta,morsitans,Female,,1,Residential-North,,Core,53.57945910,-113.49926240,POINT (-113.4992624 53.5794591)
07/16/2013 12:00:00 AM,Aedes,vexans,Female,,6,Outer Community-South1,,Outer,53.33332690,-113.53137370,POINT (-113.5313737 53.3333269)
05/23/2017 12:00:00 AM,Misc,UnID,Female,UnID,1,Outer Community-South1,,Outer,53.33332690,-113.53137370,POINT (-113.5313737 53.3333269)
05/31/1994 12:00:00 AM,Ochlerotatus,mercurator,Female,,1,River Valley-GC2-East,,Core,53.55335800,-113.46263200,POINT (-113.462632 53.553358)
08/13/2019 12:00:00 AM,Culiseta,incidens,Female,,1,Residential-North,,Core,53.57945910,-113.49926240,POINT (-113.4992624 53.5794591)
06/25/2002 12:00:00 AM,Culiseta,minnesotae,Female,,1,Residential-North,,Core,53.57945910,-113.49926240,POINT (-113.4992624 53.5794591)
06/21/1994 12:00:00 AM,Ochlerotatus,flavescens,Female,,25,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
05/23/1995 12:00:00 AM,Aedes,spp.,Female,UnID,1,River Valley-Central-P1,,Core,53.52902900,-113.54717700,POINT (-113.547177 53.529029)
08/09/2016 12:00:00 AM,Ochlerotatus,flavescens,Female,,8,Outer Community-North,,Outer,53.77447650,-113.58571530,POINT (-113.5857153 53.7744765)
